,机器编号,运营时间,订单数量,销售件数,销售金额,购买人数,点位日,点位日均销售额,范围
0,1010599,2021-06-18 15:10:13,231.0,295.0,1407.2,166.0,28.0,50.25714285714286,50以上
1,1010606,2021-06-16 16:09:28,641.0,1013.0,4227.24,497.0,30.0,140.908,50以上
2,1010608,2021-06-19 11:02:33,23.0,30.0,160.1,20.0,27.0,5.92962962962963,0-10
3,1010609,2021-06-30 15:21:32,78.0,108.0,496.0,48.0,16.0,31.0,30-50
4,1010610,2021-07-02 16:19:30,23.0,28.0,116.4,15.0,14.0,8.314285714285715,0-10
5,1010611,2021-07-02 13:22:35,25.0,43.0,225.8,20.0,14.0,16.12857142857143,10-20
6,1010612,2021-07-02 15:16:01,94.0,128.0,641.66,62.0,14.0,45.832857142857144,30-50
7,1010613,2021-07-02 11:56:48,16.0,17.0,83.7,15.0,14.0,5.978571428571429,0-10
8,1010614,2021-07-02 13:39:28,30.0,41.0,236.94,21.0,14.0,16.924285714285713,10-20
9,1010615,2021-07-02 17:44:51,35.0,55.0,264.7,32.0,14.0,18.907142857142855,10-20
10,1010616,2021-07-02 15:11:57,25.0,36.0,204.23,21.0,14.0,14.587857142857143,10-20
11,1010617,2021-07-02 16:27:27,22.0,30.0,176.4,21.0,14.0,12.6,10-20
12,1010618,2021-07-12 17:14:55,70.0,85.0,424.46,55.0,4.0,106.115,50以上
13,1010619,2021-07-12 16:39:10,9.0,10.0,37.2,8.0,3.0,12.4,10-20
14,1010620,2021-07-12 14:07:32,143.0,230.0,1043.6,109.0,4.0,260.9,50以上
15,1010623,2021-07-15 17:14:23,2.0,3.0,16.7,2.0,1.0,16.7,10-20
16,1010624,2021-07-13 15:56:25,15.0,29.0,213.2,9.0,3.0,71.06666666666666,50以上
17,1010625,2021-07-15 13:25:43,3.0,4.0,22.8,3.0,1.0,22.8,20-30
18,1010626,2021-07-15 14:03:48,5.0,10.0,51.3,5.0,1.0,51.3,50以上
19,1010627,2021-07-15 17:26:50,4.0,4.0,14.16,4.0,1.0,14.16,10-20
20,1010628,2021-07-15 16:22:47,8.0,11.0,53.4,6.0,1.0,53.4,50以上
21,1010629,2021-07-15 16:48:16,4.0,11.0,53.7,4.0,1.0,53.7,50以上
22,2010290,2021-06-26 19:10:33,52.0,71.0,307.3,45.0,20.0,15.365,10-20
23,2010296,2021-06-15 13:03:28,73.0,105.0,487.26,58.0,31.0,15.718064516129031,10-20
24,2010299,2021-06-15 17:55:27,1.0,1.0,4.1,1.0,31.0,0.132258064516129,0-10
25,2010300,2021-06-15 16:53:09,1.0,1.0,4.5,1.0,25.0,0.18,0-10
26,2010302,2021-06-30 19:34:40,124.0,172.0,842.32,82.0,16.0,52.645,50以上
27,2010303,2021-06-22 23:26:14,22.0,34.0,152.5,17.0,23.0,6.630434782608695,0-10
28,2010304,2021-06-22 18:12:03,89.0,100.0,440.5,43.0,24.0,18.354166666666668,10-20
29,2010305,2021-06-22 18:53:50,107.0,151.0,731.24,62.0,24.0,30.468333333333334,30-50
30,2010306,2021-06-22 21:28:07,142.0,180.0,809.78,74.0,24.0,33.740833333333335,30-50
31,2010307,2021-06-22 19:53:55,61.0,81.0,430.36,28.0,24.0,17.93166666666667,10-20
32,2010308,2021-06-22 23:22:52,20.0,24.0,96.4,12.0,23.0,4.191304347826088,0-10
33,2010309,2021-06-21 18:13:56,86.0,121.0,592.7,62.0,25.0,23.708000000000002,20-30
34,2010310,2021-06-22 23:22:42,57.0,79.0,340.8,35.0,23.0,14.817391304347826,10-20
35,2010311,2021-06-22 22:31:45,26.0,38.0,156.7,18.0,24.0,6.529166666666666,0-10
36,2010312,2021-06-22 23:21:56,28.0,45.0,208.55,22.0,21.0,9.930952380952382,0-10
37,2010313,2021-06-24 17:43:09,24.0,41.0,185.8,20.0,22.0,8.445454545454545,0-10
38,2010314,2021-06-24 18:37:55,47.0,66.0,386.8,34.0,22.0,17.581818181818182,10-20
39,2010315,2021-06-24 19:40:35,47.0,67.0,300.2,33.0,22.0,13.645454545454545,10-20
40,2010316,2021-06-25 17:26:16,62.0,75.0,424.34,30.0,21.0,20.206666666666667,20-30
41,2010317,2021-06-25 20:33:34,43.0,59.0,465.9,27.0,21.0,22.185714285714283,20-30
42,2010318,2021-07-02 13:42:04,6.0,9.0,37.0,6.0,14.0,2.642857142857143,0-10
43,2010319,2021-06-23 20:06:57,73.0,108.0,568.0,57.0,23.0,24.695652173913043,20-30
44,2010320,2021-06-23 21:18:47,41.0,56.0,261.0,34.0,22.0,11.863636363636363,10-20
45,2010321,2021-07-01 20:03:21,18.0,34.0,154.0,10.0,15.0,10.266666666666667,10-20
46,2010322,2021-06-26 21:00:32,61.0,81.0,341.1,48.0,20.0,17.055,10-20
47,2010323,2021-07-02 13:00:42,15.0,23.0,110.1,12.0,14.0,7.864285714285714,0-10
48,2010324,2021-07-02 19:14:33,22.0,29.0,157.4,17.0,14.0,11.242857142857144,10-20
49,2010325,2021-06-26 19:50:34,228.0,299.0,1462.04,139.0,20.0,73.102,50以上
50,2010326,2021-06-26 19:03:19,61.0,80.0,314.0,36.0,20.0,15.7,10-20
51,2010327,2021-07-04 16:45:36,59.0,79.0,358.38,38.0,12.0,29.865,20-30
52,2010328,2021-07-13 17:08:05,10.0,12.0,46.0,10.0,3.0,15.333333333333334,10-20
53,2100200,2021-07-13 16:04:37,,,,,,,50以上
54,2100209,2021-06-30 14:27:38,,,,,,,50以上
55,2111191,2021-06-15 19:03:33,,,,,16.0,,50以上
56,2111197,2021-06-19 14:20:10,92.0,114.0,551.3,55.0,27.0,20.418518518518518,20-30
57,2111198,2021-06-22 19:35:51,17.0,20.0,101.1,12.0,24.0,4.2124999999999995,0-10
58,2111199,2021-06-22 20:31:10,31.0,44.0,172.92,20.0,24.0,7.204999999999999,0-10
59,2111200,2021-06-20 14:44:50,126.0,224.0,920.03,60.0,26.0,35.38576923076923,30-50
60,2111202,2021-06-27 22:38:40,48.0,64.0,245.9,15.0,19.0,12.942105263157895,10-20
61,2111203,2021-06-23 23:17:14,93.0,128.0,658.82,31.0,23.0,28.64434782608696,20-30
62,2111204,2021-06-23 14:59:45,41.0,58.0,315.4,27.0,23.0,13.713043478260868,10-20
63,2111205,2021-06-28 11:53:39,140.0,212.0,968.02,64.0,18.0,53.778888888888886,50以上
64,2111206,2021-06-23 15:20:53,78.0,89.0,396.5,34.0,23.0,17.23913043478261,10-20
65,2111207,2021-06-22 15:40:36,206.0,242.0,1217.46,92.0,24.0,50.7275,50以上
66,2111208,2021-06-22 16:19:54,101.0,117.0,553.2,51.0,24.0,23.05,20-30
67,2111209,2021-06-23 14:31:23,134.0,158.0,777.08,87.0,23.0,33.78608695652174,30-50
68,2111210,2021-06-23 17:28:18,208.0,322.0,1768.79,173.0,23.0,76.90391304347825,50以上
69,2111211,2021-06-23 18:49:22,56.0,81.0,399.4,29.0,23.0,17.36521739130435,10-20
70,2111212,2021-06-26 14:23:08,130.0,256.0,1208.4,108.0,20.0,60.42,50以上
71,2111213,2021-06-23 19:22:46,55.0,107.0,444.6,40.0,23.0,19.330434782608698,10-20
72,2111214,2021-06-23 00:53:55,47.0,63.0,289.8,21.0,23.0,12.6,10-20
73,2111215,2021-06-27 15:06:40,74.0,93.0,436.2,57.0,19.0,22.957894736842103,20-30
74,2111216,2021-06-23 18:44:30,37.0,40.0,209.2,24.0,23.0,9.095652173913043,0-10
75,2111217,2021-06-23 18:16:24,39.0,53.0,230.6,34.0,23.0,10.02608695652174,10-20
76,2111218,2021-06-26 17:09:13,132.0,174.0,839.1,93.0,20.0,41.955,30-50
77,2111219,2021-06-26 16:45:03,130.0,179.0,821.24,89.0,20.0,41.062,30-50
78,2111220,2021-06-27 16:18:55,4.0,6.0,22.4,4.0,19.0,1.1789473684210525,0-10
79,2111221,2021-06-24 14:13:43,42.0,60.0,330.76,21.0,22.0,15.034545454545453,10-20
80,2111222,2021-06-26 22:43:21,31.0,44.0,233.4,23.0,20.0,11.67,10-20
81,2111223,2021-06-29 13:30:00,37.0,48.0,241.46,34.0,17.0,14.203529411764706,10-20
82,2111224,2021-06-29 13:55:16,41.0,52.0,229.65,26.0,12.0,19.1375,10-20
83,2111225,2021-06-25 17:18:00,111.0,145.0,615.57,50.0,21.0,29.312857142857144,20-30
84,2111226,2021-06-23 13:47:05,18.0,27.0,129.1,11.0,23.0,5.613043478260869,0-10
85,2111227,2021-06-23 13:47:14,32.0,41.0,209.6,23.0,23.0,9.113043478260868,0-10
86,2111228,2021-06-27 16:45:15,34.0,52.0,285.6,23.0,3.0,95.2,50以上
87,2111229,2021-06-29 20:06:07,99.0,140.0,599.4,51.0,17.0,35.258823529411764,30-50
88,2111230,2021-06-30 11:02:21,6.0,6.0,34.9,5.0,16.0,2.18125,0-10
89,2111231,2021-06-27 18:28:57,72.0,94.0,449.82,39.0,19.0,23.67473684210526,20-30
90,2111232,2021-06-24 19:32:22,147.0,272.0,1706.61,56.0,21.0,81.26714285714286,50以上
91,2111233,2021-06-27 18:09:01,46.0,64.0,336.3,34.0,19.0,17.7,10-20
92,2111234,2021-06-27 13:36:39,175.0,215.0,942.9,95.0,19.0,49.626315789473686,30-50
93,2111235,2021-06-27 13:43:41,166.0,232.0,1061.3,92.0,19.0,55.857894736842105,50以上
94,2111236,2021-06-27 11:54:12,90.0,119.0,754.54,40.0,16.0,47.15875,30-50
95,2111237,2021-06-27 21:30:53,47.0,65.0,322.08,34.0,19.0,16.95157894736842,10-20
96,2111238,2021-06-27 20:05:50,118.0,158.0,786.3,73.0,19.0,41.38421052631579,30-50
97,2111239,2021-06-28 12:53:45,26.0,40.0,194.6,18.0,16.0,12.1625,10-20
98,2111240,2021-06-28 12:04:45,23.0,32.0,183.6,16.0,14.0,13.114285714285714,10-20
99,2111241,2021-07-04 12:38:38,26.0,40.0,147.5,17.0,12.0,12.291666666666666,10-20
100,2111242,2021-06-28 12:58:29,21.0,27.0,113.8,17.0,18.0,6.322222222222222,0-10
101,2111243,2021-06-30 18:22:22,277.0,313.0,607.42,48.0,16.0,37.96375,30-50
102,2111244,2021-06-29 13:36:27,135.0,160.0,756.23,94.0,17.0,44.484117647058824,30-50
103,2111245,2021-07-02 15:13:18,27.0,49.0,234.1,15.0,14.0,16.72142857142857,10-20
104,2111246,2021-07-01 00:12:27,160.0,165.0,7251.0,109.0,11.0,659.1818181818181,50以上
105,2111247,2021-07-05 11:28:57,11.0,12.0,45.4,6.0,11.0,4.127272727272727,0-10
106,2111248,2021-07-04 13:44:18,60.0,89.0,390.13,38.0,12.0,32.51083333333333,30-50
107,2111249,2021-07-04 14:19:06,60.0,83.0,392.2,49.0,12.0,32.68333333333333,30-50
108,2111250,2021-07-04 14:52:18,36.0,46.0,197.5,25.0,12.0,16.458333333333332,10-20
109,2111251,2021-07-02 17:42:43,13.0,17.0,77.41,8.0,14.0,5.529285714285714,0-10
110,2111252,2021-07-04 21:47:56,36.0,52.0,256.5,33.0,12.0,21.375,20-30
111,2111253,2021-07-04 11:38:22,35.0,45.0,230.2,30.0,12.0,19.183333333333334,10-20
112,2111254,2021-07-03 14:31:08,77.0,90.0,420.3,45.0,13.0,32.330769230769235,30-50
113,2111255,2021-07-03 21:23:53,41.0,43.0,212.1,22.0,13.0,16.315384615384616,10-20
114,2111256,2021-07-03 21:17:44,28.0,35.0,169.8,21.0,13.0,13.061538461538463,10-20
115,2111257,2021-07-03 20:06:28,13.0,17.0,67.4,9.0,11.0,6.127272727272728,0-10
116,2111258,2021-07-07 10:30:47,31.0,41.0,195.1,15.0,9.0,21.677777777777777,20-30
117,2111259,2021-07-05 12:20:53,15.0,22.0,119.2,11.0,11.0,10.836363636363636,10-20
118,2111260,2021-07-04 13:30:11,15.0,20.0,105.6,12.0,12.0,8.799999999999999,0-10
119,2111261,2021-07-04 13:30:23,25.0,44.0,211.2,22.0,12.0,17.599999999999998,10-20
120,2111262,2021-07-04 13:30:54,5.0,6.0,25.2,4.0,12.0,2.1,0-10
121,2111263,2021-07-06 20:40:11,15.0,15.0,63.9,14.0,10.0,6.39,0-10
122,2111264,2021-07-06 20:39:52,2.0,2.0,16.9,2.0,10.0,1.69,0-10
123,2111265,2021-07-12 18:31:02,,,,,,,50以上
124,2111266,2021-07-08 16:16:27,72.0,84.0,428.07,52.0,8.0,53.50875,50以上
125,2111267,2021-07-09 21:42:57,18.0,20.0,92.4,16.0,7.0,13.200000000000001,10-20
126,2111268,2021-07-12 14:50:14,48.0,70.0,330.4,29.0,4.0,82.6,50以上
127,2111269,2021-07-12 11:00:56,11.0,11.0,49.9,10.0,4.0,12.475,10-20
128,2111270,2021-07-11 13:22:31,12.0,24.0,123.1,10.0,5.0,24.619999999999997,20-30
129,2111271,2021-07-12 20:42:25,,,,,4.0,,50以上
130,2111272,2021-07-12 11:04:22,5.0,5.0,19.5,3.0,4.0,4.875,0-10
131,2111274,2021-07-14 18:58:16,2.0,3.0,9.5,2.0,2.0,4.75,0-10
132,2111275,2021-07-12 16:04:41,10.0,14.0,70.2,7.0,4.0,17.55,10-20
133,2111276,2021-07-12 16:05:07,4.0,5.0,23.7,4.0,4.0,5.925,0-10
134,2111277,2021-07-12 16:05:21,14.0,21.0,82.6,12.0,4.0,20.65,20-30
135,2111279,2021-07-15 14:00:58,5.0,6.0,28.5,5.0,1.0,28.5,20-30
136,2111280,2021-07-14 15:08:37,1.0,1.0,3.5,1.0,2.0,1.75,0-10
137,2111281,2021-07-14 16:28:31,5.0,9.0,36.9,5.0,2.0,18.45,10-20
138,2111283,2021-07-15 02:13:47,1.0,1.0,4.5,1.0,1.0,4.5,0-10
139,2310186,2021-06-24 17:49:26,69.0,103.0,442.5,63.0,22.0,20.113636363636363,20-30
140,2310187,2021-06-27 04:25:47,88.0,110.0,493.25,65.0,19.0,25.960526315789473,20-30
141,2310188,2021-06-27 03:15:31,29.0,35.0,116.92,23.0,19.0,6.153684210526316,0-10
142,2310189,2021-06-27 01:59:54,24.0,35.0,139.33,16.0,19.0,7.333157894736843,0-10
143,2310190,2021-06-27 00:03:14,97.0,119.0,544.14,82.0,19.0,28.638947368421054,20-30
144,2310191,2021-06-27 00:47:18,26.0,37.0,198.0,24.0,19.0,10.421052631578947,10-20
145,2310192,2021-06-26 23:27:55,47.0,61.0,292.6,38.0,19.0,15.4,10-20
146,2310193,2021-06-29 23:49:06,90.0,121.0,566.4,65.0,16.0,35.4,30-50
147,2310194,2021-06-29 22:11:34,54.0,69.0,302.6,32.0,17.0,17.8,10-20
148,2310195,2021-06-29 20:29:39,9.0,12.0,66.1,8.0,17.0,3.8882352941176466,0-10
149,2310196,2021-06-29 19:37:00,36.0,49.0,272.16,30.0,17.0,16.009411764705884,10-20
150,2310197,2021-06-29 18:22:43,96.0,143.0,761.5,82.0,17.0,44.794117647058826,30-50
151,2310198,2021-06-30 13:24:41,62.0,73.0,336.5,28.0,16.0,21.03125,20-30
152,2310199,2021-06-30 11:38:36,38.0,48.0,216.44,32.0,15.0,14.429333333333334,10-20
153,2310200,2021-07-01 18:55:55,33.0,47.0,211.8,27.0,15.0,14.120000000000001,10-20
154,2310201,2021-07-01 19:43:04,26.0,35.0,169.6,23.0,15.0,11.306666666666667,10-20
155,2310202,2021-07-01 18:08:59,35.0,52.0,214.4,34.0,15.0,14.293333333333333,10-20
156,2310203,2021-07-01 17:09:14,48.0,59.0,232.9,39.0,15.0,15.526666666666667,10-20
157,2310204,2021-07-01 22:56:39,41.0,59.0,269.4,37.0,15.0,17.959999999999997,10-20
158,2310205,2021-07-01 21:50:39,33.0,40.0,201.3,29.0,15.0,13.42,10-20
159,2310206,2021-07-13 14:32:55,2.0,2.0,8.5,2.0,2.0,4.25,0-10
160,2510265,2021-06-22 12:53:28,172.0,240.0,1021.4,115.0,24.0,42.55833333333333,30-50
161,2510266,2021-07-06 17:20:48,65.0,74.0,301.0,53.0,10.0,30.1,30-50
162,2510267,2021-07-09 11:18:38,120.0,163.0,683.36,110.0,7.0,97.62285714285714,50以上
163,2710235,2021-07-02 09:11:22,18.0,26.0,104.2,14.0,15.0,6.946666666666667,0-10
164,2710236,2021-06-25 21:27:24,17.0,26.0,122.8,16.0,21.0,5.847619047619047,0-10
165,2710237,2021-07-02 12:56:14,28.0,45.0,212.04,19.0,14.0,15.145714285714286,10-20
166,2710238,2021-07-02 13:38:17,21.0,28.0,145.2,15.0,14.0,10.37142857142857,10-20
167,2710239,2021-07-13 18:03:45,22.0,26.0,81.4,18.0,3.0,27.133333333333336,20-30
168,2810505,2021-06-19 16:52:23,2.0,2.0,10.7,2.0,1.0,10.7,10-20
169,2810506,2021-06-19 17:29:13,,,,,1.0,,50以上
170,2810507,2021-06-19 18:55:34,100.0,139.0,715.54,62.0,27.0,26.50148148148148,20-30
171,2810508,2021-06-19 18:55:38,114.0,143.0,682.3,58.0,26.0,26.24230769230769,20-30
172,2810509,2021-06-19 23:13:08,42.0,53.0,242.8,36.0,27.0,8.992592592592594,0-10
173,2810510,2021-06-19 16:56:34,13.0,18.0,145.4,12.0,27.0,5.385185185185185,0-10
174,2810511,2021-06-22 12:48:30,36.0,48.0,222.2,21.0,24.0,9.258333333333333,0-10
175,2810512,2021-06-22 13:25:23,39.0,48.0,235.5,32.0,24.0,9.8125,0-10
176,2810513,2021-06-22 14:03:20,33.0,43.0,212.5,25.0,24.0,8.854166666666666,0-10
177,2810514,2021-06-24 17:52:56,56.0,69.0,324.36,31.0,22.0,14.743636363636364,10-20
178,2810515,2021-06-27 18:18:08,202.0,260.0,1263.83,102.0,18.0,70.21277777777777,50以上
179,2810516,2021-06-27 15:07:52,52.0,67.0,289.36,35.0,19.0,15.229473684210527,10-20
180,2810517,2021-06-27 18:20:59,112.0,154.0,705.0,74.0,19.0,37.10526315789474,30-50
181,2810518,2021-07-02 18:04:57,37.0,64.0,266.9,23.0,14.0,19.064285714285713,10-20
182,2810519,2021-07-14 11:51:35,6.0,11.0,85.6,6.0,2.0,42.8,30-50
183,2810520,2021-07-14 11:19:43,4.0,4.0,22.4,4.0,2.0,11.2,10-20
184,2810521,2021-07-14 11:51:23,8.0,10.0,65.7,7.0,2.0,32.85,30-50
185,2810522,2021-07-14 14:07:38,7.0,11.0,68.8,5.0,2.0,34.4,30-50
186,2810523,2021-07-14 16:37:55,3.0,7.0,30.3,3.0,2.0,15.15,10-20
187,2810524,2021-07-14 16:04:14,4.0,5.0,37.1,4.0,2.0,18.55,10-20
188,2810525,2021-07-14 16:29:03,3.0,3.0,17.6,3.0,2.0,8.8,0-10
189,2810526,2021-07-14 15:39:48,2.0,9.0,77.3,2.0,2.0,38.65,30-50
